arff file is in: groundtruthData\groundtruth.arff

class name,truePositiveRate,falsePositiveRate,Precision,Recall,fMeasure,ROC

BayesNet Default values all 160 attributesTrainingIsTestData
happy,0.76905311778291,0.3883346124328473,0.39690107270560193,0.76905311778291,0.5235849056603774,0.771367903877887
sad,0.167816091954023,0.05918524212144504,0.4866666666666667,0.167816091954023,0.24957264957264957,0.6066482899979679
aggressive,0.33793103448275863,0.1083781706379708,0.5104166666666666,0.33793103448275863,0.40663900414937754,0.6741383727813265
stress,0.4780600461893764,0.19339984650805833,0.45098039215686275,0.4780600461893764,0.4641255605381166,0.6836080886353928


NaiveBayes Default Values all 160 attributesTrainingIsTestData
happy,0.5196304849884527,0.14428242517267845,0.5447941888619855,0.5196304849884527,0.5319148936170214,0.7609425043291462
sad,0.1310344827586207,0.05534204458109147,0.4418604651162791,0.1310344827586207,0.2021276595744681,0.6025859860231298
aggressive,0.4459770114942529,0.17909300538047657,0.45433255269320844,0.4459770114942529,0.45011600928074247,0.7067154355182133
stress,0.5796766743648961,0.39600920951650037,0.3272490221642764,0.5796766743648961,0.4183333333333334,0.6493754863089087

J48 Default values all 160 attributes
training data is used as test data 

happy,0.8521939953810623,0.08672294704528012,0.7655601659751037,0.8521939953810623,0.8065573770491803,0.9614639515490102
sad,0.7563218390804598,0.08531898539584935,0.7477272727272727,0.7563218390804598,0.752,0.9324533736206455
aggressive,0.7724137931034483,0.0622598001537279,0.8057553956834532,0.7724137931034483,0.788732394366197,0.9542606483076679
stress,0.7621247113163973,0.051419800460475826,0.8312342569269522,0.7621247113163973,0.7951807228915664,0.9541890361379585

SMO Default Values all 160 attributes
training data is used as test data 

happy,0.7575057736720554,0.19723714504988488,0.5606837606837607,0.7575057736720554,0.6444007858546169,0.8382334956283155
sad,0.4689655172413793,0.11760184473481937,0.5714285714285714,0.4689655172413793,0.5151515151515151,0.7205792184614841
aggressive,0.5402298850574713,0.13835511145272866,0.5662650602409639,0.5402298850574713,0.5529411764705883,0.7806073135607446
stress,0.5034642032332564,0.12356101304681504,0.575197889182058,0.5034642032332564,0.5369458128078818,0.749111572335293

